Sr.,Date,Country,City,Product_Name,Product_link,Price,Price_per_unit,Available_Packing
1,3/3/2023,USA,New Mexico,"Green Giant Corn On The Cob, Extra Sweet Mini Ears, Frozen, 12 Ct",https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=_G__SQgpWBf3Mbg6R52wK9ztTd3R38NLY3DHJ4WoDkJmJP-iws0ccixmxIMcHwZsAOxd4jznwxc-NNNYiUuIZ5_QyvBNBTTKYwWxV1mab6EN7t_R9bKIo19w7KOdOoqjpgpHYRzcdjsy2kVwn9x7vZpyBIhLqDqKnNISc6WVE9VeFW45UP_hVJqlcsoqhyCK&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=1&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FGreen-Giant-Corn-On-The-Cob-Extra-Sweet-Mini-Ears-Frozen-12-Ct%2F10813651%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&couponState=na&athbdg=L1600,$4.93,41.1 ¢/ea,
2,3/3/2023,USA,New Mexico,"Gourmet Garden Chunky Garlic Stir-In Paste, 4 oz",https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=eLFi3Z45-CpVEhDzeynEv1NBBx_cRubGjrUkPEdwLzdCm3cb4EOmiq_QIu6cLSYZAOxd4jznwxc-NNNYiUuIZ4OX1XU3qv-9PARb45Tu8NkN7t_R9bKIo19w7KOdOoqjCikeRtKW4bWyZ0Lng942VTuYtFufcXr_GKdh1wadJ1PmqQDQYWU-KzBmECmgmLUV&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=2&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FGourmet-Garden-Chunky-Garlic-Stir-In-Paste-4-oz%2F51259335%3FadsRedirect%3Dtrue&couponState=na&/ip/Gourmet-Garden-Chunky-Garlic-Stir-In-Paste-4-oz/51259335,$4.38,$1.10/oz,
3,3/3/2023,USA,New Mexico,Sweet Aperitif Heirloom Cherry Tomato Premium Seeds Packet - Sweetest Tomato in The World,https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=ZwUGuT9BXF9VVAAEmw1vjmtyi_7giIIXjDYobM4ekpmaM_a1KCDmqAqj6HvkGAE8LtkVDM_oaHq-TaMCXS_w0MHJuyiLaq7P5SwepARDBkyO3gSh1waR37BzEK8T7ygr8aXe6Cxa1Da9zzF5xkcpxQ5XZaXBKEWHeAJXeA1qhEP1LRFZkueEtcZXXbPONznU&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=3&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSweet-Aperitif-Heirloom-Cherry-Tomato-Premium-Seeds-Packet-Sweetest-Tomato-in-The-World%2F959621175%3FadsRedirect%3Dtrue&couponState=na&/ip/Sweet-Aperitif-Heirloom-Cherry-Tomato-Premium-Seeds-Packet-Sweetest-Tomato-in-The-World/959621175,$3.99,+$4.10 shipping,
4,3/3/2023,USA,New Mexico,Sunrise Yellow and Red Bumblebee Heirloom Cherry Tomato Premium Seeds Packet,https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=8M7ccKC5fLDV6ggNs7GS3Wtyi_7giIIXjDYobM4ekpmaM_a1KCDmqAqj6HvkGAE8tRGhA6krG8tdLm7wgi-CGmhRe8YDHvGVs-JAIij-e5kee28t8wYZLuCmRAkFnB7vkCUYRAETkTJeca4FM7BG3T_gx_U40_1XnmRoa6vlhjiByIkYeOdmSpIe7OZ7AfOq&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=4&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSunrise-Yellow-and-Red-Bumblebee-Heirloom-Cherry-Tomato-Premium-Seeds-Packet%2F236233732%3FadsRedirect%3Dtrue&couponState=na&/ip/Sunrise-Yellow-and-Red-Bumblebee-Heirloom-Cherry-Tomato-Premium-Seeds-Packet/236233732,$3.99,+$4.10 shipping,
5,3/3/2023,USA,New Mexico,Sweet Potatoes Per Pound,https://www.walmart.com/ip/Sweet-Potatoes-Per-Pound/44390964?athbdg=L1600,,$1.30/lb,each
6,3/3/2023,USA,New Mexico,BEANS GREEN 32OZ,https://www.walmart.com/ip/BEANS-GREEN-32OZ/16401583,$6.18,19.3 ¢/oz,
7,3/3/2023,USA,New Mexico,"Russet Potatoes, 10 lb Bag",https://www.walmart.com/ip/Russet-Potatoes-10-lb-Bag/10449951?athbdg=L1600,$5.77,57.7 ¢/lb,
8,3/3/2023,USA,New Mexico,"Russet Baking Potatoes, each",https://www.walmart.com/ip/Russet-Baking-Potatoes-each/44391004?athbdg=L1600,$0.92,$1.08/lb,each
9,3/3/2023,USA,New Mexico,"Asparagus, Bunch",https://www.walmart.com/ip/Asparagus-Bunch/44390952?athbdg=L1600,$2.98,,
10,3/3/2023,USA,New Mexico,Freshness Guaranteed Sliced White Mushrooms 8oz,https://www.walmart.com/ip/Freshness-Guaranteed-Sliced-White-Mushrooms-8oz/10449184?athbdg=L1600,$2.18,27.3 ¢/oz,
